N° OP;Descrição do Item;Empresa;Data de Lançamento da OP;N° Pedido de Venda;N° Nota Fiscal;Situação da Garantia
8851;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7278;NF 45348;Fora de Garantia
8851;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7278;NF 45349;Fora de Garantia
8852;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7276;NF 45346;Fora de Garantia
8852;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7277;NF 45347;Fora de Garantia
8853;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7273;NF 45327;Fora de Garantia
8853;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7274;NF 45328;Fora de Garantia
8854;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7275;NF 45329;Fora de Garantia
8854;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7276;NF 45346;Fora de Garantia
8855;CCI 52A10 3/ED/STD - 1388 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7510;NF 45673;Fora de Garantia
8856;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7277;NF 45347;Fora de Garantia
8856;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;05/01/2024;7279;NF 45330;Fora de Garantia
8857;SPT 44T6R 1700A IX/CI - 2102;Traydus Climatizacao Industria e Comercio Ltda;08/01/2024;7242;NF 45363;Fora de Garantia
8858;VCR 506EZ905 4/STD/AP/W12/CE - 2106 (Padrao Racks);Racks Refrigeracao Ltda;08/01/2024;7271;NF 45284;Fora de Garantia
8859;FCR 034AE801 H/2/STD;Irmaos Rios Servicos Ltda;08/01/2024;7289;NF 45300;Fora de Garantia
8860;FCR 066AF802 H/2/STD;Irmaos Rios Servicos Ltda;08/01/2024;7289;NF 45300;Fora de Garantia
8861;CCI 52B10 3/ED/STD - 1572 (Padrao Racks);Racks Refrigeracao Ltda;10/01/2024;7279;NF 45330;Fora de Garantia
8862;RCI 52A06 3/STD/W20 - 1161 (Padrao Racks);Racks Refrigeracao Ltda;10/01/2024;7278;NF 45348;Fora de Garantia
8862;RCI 52A06 3/STD/W20 - 1161 (Padrao Racks);Racks Refrigeracao Ltda;10/01/2024;7278;NF 45349;Fora de Garantia
8863;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;10/01/2024;7278;NF 45348;Fora de Garantia
8863;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;10/01/2024;7278;NF 45349;Fora de Garantia
8864;VCR 257EZ903 3/STD;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;12/01/2024;8017;NF 46228;Fora de Garantia
8864;VCR 257EZ903 3/STD;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;12/01/2024;8017;NF 46291;Fora de Garantia
8865;VCR 257EZ903 3/STD/AP;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;12/01/2024;8017;NF 46228;Fora de Garantia
8865;VCR 257EZ903 3/STD/AP;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;12/01/2024;8017;NF 46291;Fora de Garantia
8866;VCR 304EZ903 3/STD;;12/01/2024;;;Fora de Garantia
8867;VCR 304EZ903 3/STD/AP;Perfil Servicos e Comercio de Equipamentos Frigorificos Ltda;12/01/2024;7579;NF 45637;Fora de Garantia
8868;VCR 359EZ903 3/STD;Perfil Refrigeracao Ind. Com. e Servico Ltda;12/01/2024;7399;NF 45621;Fora de Garantia
8868;VCR 359EZ903 3/STD;Perfil Refrigeracao Ind. Com. e Servico Ltda;12/01/2024;7399;NF 45622;Fora de Garantia
8869;VCR 359EZ903 3/STD/AP;Companhia Brasileira de Distribuicao;12/01/2024;7584;NF 45779;Fora de Garantia
8871;Bandeja para RCI 52;Ar Brasil Comercio de Pecas de Refrigeracao Ltda;17/01/2024;7307;NF 45251;Fora de Garantia
8871;Bandeja para RCI 52;Ar Brasil Comercio de Pecas de Refrigeracao Ltda;17/01/2024;7307;NF 45255;Fora de Garantia
8889;SPT 23T8R 1750A CO/CA - 2103;Masf Industria e Comercio de Panificacao Ltda;22/01/2024;7267;NF 45332;Fora de Garantia
8892;RTC 313A6 2/STD/W5 - 1007;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45457;Fora de Garantia
8892;RTC 313A6 2/STD/W5 - 1007;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45475;Fora de Garantia
8893;RTC 252E6 2/STD/W2/RR - 1475;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45457;Fora de Garantia
8893;RTC 252E6 2/STD/W2/RR - 1475;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45475;Fora de Garantia
8894;RTC 314A6 2/STD/W6/RR - 1477;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45457;Fora de Garantia
8894;RTC 314A6 2/STD/W6/RR - 1477;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45475;Fora de Garantia
8895;RCI 42A10 3/STD/W8 - 1411;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45457;Fora de Garantia
8895;RCI 42A10 3/STD/W8 - 1411;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45475;Fora de Garantia
8896;RTC 252A6 2/STD/W4/RR - 1009;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45457;Fora de Garantia
8896;RTC 252A6 2/STD/W4/RR - 1009;Mazzero e Carvalho - Refrigeracao Ltda;23/01/2024;7309;NF 45475;Fora de Garantia
8897;RTC 313A4 2/STD/BD;Profrio Ltda;23/01/2024;7304;NF 45474;Fora de Garantia
8898;FCR 104AC802 H/3/STD/CE - 191;Bitzer Compressores Ltda;23/01/2024;7313;NF 45442;Fora de Garantia
8898;FCR 104AC802 H/3/STD/CE - 191;Bitzer Compressores Ltda;23/01/2024;7313;NF 45478;Fora de Garantia
8903;RCI 53A06 3/STD/W30/BD - 2108;Profrio Ltda;23/01/2024;7304;NF 45474;Fora de Garantia
8909;Bandeja NRP 2075-15 - Prototipo;;26/01/2024;;;Fora de Garantia
8910;RTC 314A6 2/STD/W6/RR - 1477;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;29/01/2024;7851;NF 46035;Fora de Garantia
8911;RTC 252A6 2/STD/W2 - 1538;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8912;RFD 32E04 2/STD/W6/RR - 1211;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8913;RFD 31E07 2/STD/W4 - 1400;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8914;RTC 253E6 2/STD/W4 - 1800;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8915;CTC 354A8 2M/ED/STD - 1695;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8916;RTC 354A8 2M/STD/W8 - 1697;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8917;RTC 253A6 2/STD/W2 - 1538;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8918;CTC 252A4 2/STD/G3 - 1900;Superfrio Solucoes em Refrigeracao Ltda;29/01/2024;7320;NF 45473;Fora de Garantia
8919;FCR 104AC802 H/2/STD/AP;GB Servicos de Apoio Portuario Ltda;29/01/2024;7321;NF 45424;Fora de Garantia
8920;FCR 055B52 H/3/STD/CE -189;Bitzer Compressores Ltda;29/01/2024;7322;NF 45360;Fora de Garantia
8921;NDR 43A07 3/ED/STD/CI/AN/50HZ/DX/3x500 - 2107;Electrofrio Bolivia SRL;29/01/2024;7293;NF 45506;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45430;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45431;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45432;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45498;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45499;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45549;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45553;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45634;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45635;Fora de Garantia
8922;NRP 29K2900I 3/STD/W48/CP/BDE/12-6 - 2083;Therm Tech Refrigeracao Industrial Ltda;29/01/2024;7220;NF 45678;Fora de Garantia
8924;RFD 31E04 2/STD/W4/CI/AP/RR - 1400 (Padrao Racks);Racks Refrigeracao Ltda;30/01/2024;7336;NF 45393;Fora de Garantia
8929;Coifa para RCI 52 - Motov. 500 mm;Cereais Bramil Ltda;31/01/2024;7338;NF 45312;Fora de Garantia
8930;RCI 52A10 3/STD;Nordestina Ind. Com. e Serv. para Refrigeracao Ltda;31/01/2024;7341;NF 45323;Fora de Garantia
8931;CCI 52A10 3/ED/STD/DC - 2110 (Padrao Racks);Racks Refrigeracao Ltda;01/02/2024;7314;NF 45401;Fora de Garantia
8931;CCI 52A10 3/ED/STD/DC - 2110 (Padrao Racks);Racks Refrigeracao Ltda;01/02/2024;7335;NF 45418;Fora de Garantia
8932;RTC 352A8 3/ED/STD - 1858;Brasil Gourmet Industria e Comercio de Alimentos S.A.;03/02/2024;7343;NF 45562;Fora de Garantia
8933;RTC 355A8 2/STD/W9 - 1697;Superfrio Solucoes em Refrigeracao Ltda;03/02/2024;7345;NF 45433;Fora de Garantia
8934;RTC 313A4 2/STD/W5 - 1007;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;03/02/2024;7346;NF 45476;Fora de Garantia
8935;CTC 313A4 2/STD/G13 - 1691;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;03/02/2024;7346;NF 45476;Fora de Garantia
8937;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7358;NF 45509;Fora de Garantia
8937;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7358;NF 45542;Fora de Garantia
8937;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7358;NF 45616;Fora de Garantia
8938;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7528;NF 45731;Fora de Garantia
8938;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7528;NF 45751;Fora de Garantia
8938;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7528;NF 45846;Fora de Garantia
8938;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7528;NF 45866;Fora de Garantia
8938;TC-200 8 Pol - 520 - Rev.02;Mecalor Solucoes em Engenharia Termica Ltda;06/02/2024;7528;NF 45874;Fora de Garantia
8939;RFD 33E04 2/STD;Jetservice Industria e Comercio de Equipamentos Frigorificos Ltda;06/02/2024;7359;NF 45546;Fora de Garantia
8940;RFD 34E04 2/STD;Jetservice Industria e Comercio de Equipamentos Frigorificos Ltda;06/02/2024;7359;NF 45546;Fora de Garantia
8941;FCR 055B52 H/3/STD/CE -189;Bitzer Compressores Ltda;07/02/2024;7362;NF 45407;Fora de Garantia
8941;FCR 055B52 H/3/STD/CE -189;Bitzer Compressores Ltda;07/02/2024;7362;NF 45454;Fora de Garantia
8950;FCR 126AC802 H/3/STD/CE/MT - 2113;Superfrio Solucoes em Refrigeracao Ltda;08/02/2024;7347;NF 45434;Fora de Garantia
8950;FCR 126AC802 H/3/STD/CE/MT - 2113;Superfrio Solucoes em Refrigeracao Ltda;08/02/2024;7347;NF 45435;Fora de Garantia
8950;FCR 126AC802 H/3/STD/CE/MT - 2113;Superfrio Solucoes em Refrigeracao Ltda;08/02/2024;7347;NF 45436;Fora de Garantia
8951;FCR 085AC802 H/3/STD/CE/MT - 2111;Bitzer Compressores Ltda;08/02/2024;7462;NF 45590;Fora de Garantia
8951;FCR 085AC802 H/3/STD/CE/MT - 2111;Bitzer Compressores Ltda;08/02/2024;7539;NF 45591;Fora de Garantia
8951;FCR 085AC802 H/3/STD/CE/MT - 2111;Bitzer Compressores Ltda;08/02/2024;7557;NF 45741;Fora de Garantia
8951;FCR 085AC802 H/3/STD/CE/MT - 2111;Bitzer Compressores Ltda;08/02/2024;7651;NF 45742;Fora de Garantia
8951;FCR 085AC802 H/3/STD/CE/MT - 2111;Bitzer Compressores Ltda;08/02/2024;7651;NF 45821;Fora de Garantia
8951;FCR 085AC802 H/3/STD/CE/MT - 2111;Bitzer Compressores Ltda;08/02/2024;7651;NF 45867;Fora de Garantia
8952;FCR 104AC802 H/3/STD/CE/MT - 2112;;08/02/2024;;;Fora de Garantia
8953;FCR 126AC802 H/3/STD/CE/MT - 2113;Bitzer Compressores Ltda;08/02/2024;7704;NF 45785;Fora de Garantia
8954;Coifa 350 mm para RTC 3 x 315 mm - P5000-001-0 (MTV00198M);Brasil Gourmet Industria e Comercio de Alimentos S.A.;08/02/2024;7343;NF 45562;Fora de Garantia
8958;SPT 3T3R 1900A CO/CA/RR - 2087;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;08/02/2024;7316;NF 45396;Fora de Garantia
8959;SPB 3T3R 3000A CO/CA - 2088;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;08/02/2024;7316;NF 45396;Fora de Garantia
8960;SPT 3T3R 980A CO/CA/RR - 2089;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;08/02/2024;7316;NF 45396;Fora de Garantia
8961;SPB 4T3R 500A CO/CA - 2090;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;08/02/2024;7316;NF 45396;Fora de Garantia
8962;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;;08/02/2024;;;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45430;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45431;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45432;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45498;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45499;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45549;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45553;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45634;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45635;Fora de Garantia
8963;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45678;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45430;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45431;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45432;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45498;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45499;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45549;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45553;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45634;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45635;Fora de Garantia
8964;NRP 29K2900I 3/HG/STD/W72/CP/BDE/RC/20-10 - 2075;Therm Tech Refrigeracao Industrial Ltda;08/02/2024;7220;NF 45678;Fora de Garantia
8965;Bandeja Dupla para NCI 62E10 3/HG/STD/BD - 1721;Abatedouro de Aves Ideal Ltda;08/02/2024;7356;NF 45386;Fora de Garantia
8966;NCI 51C08 3/ED/STD/W10/EC/CP/BD - 2109;Plastimetal Engenharia e Serviços de Manutencoes Industriais Ltda;08/02/2024;7331;NF 45560;Fora de Garantia
8966;NCI 51C08 3/ED/STD/W10/EC/CP/BD - 2109;Plastimetal Engenharia e Serviços de Manutencoes Industriais Ltda;08/02/2024;7332;NF 45617;Fora de Garantia
8977;FCR 104AC802 V/3/STD;Cooperativa dos Fruticultores de Protasio Alves Coopalves Ltda;16/02/2024;7391;;Fora de Garantia
8978;FCR 245EZ903 V/2/STD/TP;;16/02/2024;;;Fora de Garantia
8979;FCR 245EZ903 V/2/STD/TP;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45554;Fora de Garantia
8979;FCR 245EZ903 V/2/STD/TP;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45555;Fora de Garantia
8980;FCR 089EC802 V/2/STD/TP;;16/02/2024;;;Fora de Garantia
8981;FCR 089EC802 V/2/STD/TP;;16/02/2024;;;Fora de Garantia
8982;RFD 32E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45516;Fora de Garantia
8982;RFD 32E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45517;Fora de Garantia
8983;RFD 32E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45554;Fora de Garantia
8983;RFD 32E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45555;Fora de Garantia
8984;RFD 33E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45516;Fora de Garantia
8984;RFD 33E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45517;Fora de Garantia
8985;RFD 33E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45554;Fora de Garantia
8985;RFD 33E07 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45555;Fora de Garantia
8986;RFD 32E07 2/ED/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45516;Fora de Garantia
8986;RFD 32E07 2/ED/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45517;Fora de Garantia
8987;RTC 254A6 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45516;Fora de Garantia
8987;RTC 254A6 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7369;NF 45517;Fora de Garantia
8988;RTC 254A6 2/STD;;16/02/2024;;;Fora de Garantia
8989;RTC 254A6 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45554;Fora de Garantia
8989;RTC 254A6 2/STD;Supermercados Jau Serve Ltda;16/02/2024;7371;NF 45555;Fora de Garantia
8990;RCI 41B10 3/ED/STD;Blau Farmaceutica S.A.;16/02/2024;7370;NF 45547;Fora de Garantia
8991;RFD 31E07 2/STD/W4 - 1400;Superfrio Solucoes em Refrigeracao Ltda;16/02/2024;7372;NF 45556;Fora de Garantia
8992;RTC 252A6 2/STD/W2 - 1538;Superfrio Solucoes em Refrigeracao Ltda;16/02/2024;7372;NF 45556;Fora de Garantia
8993;RTC 252A6 2/STD/W4/RR - 1009;Superfrio Solucoes em Refrigeracao Ltda;16/02/2024;7372;NF 45556;Fora de Garantia
8994;RFD 32E07 2/STD/W4 - 1400;Superfrio Solucoes em Refrigeracao Ltda;16/02/2024;7372;NF 45556;Fora de Garantia
8995;RTC 353A6 2M/STD/W4 - 1699;Superfrio Solucoes em Refrigeracao Ltda;16/02/2024;7372;NF 45556;Fora de Garantia
8996;CTC 354E8 2M/ED/STD - 2041;Superfrio Solucoes em Refrigeracao Ltda;19/02/2024;7372;NF 45556;Fora de Garantia
8997;RTC 354A6 2M/STD/W6 - 1698;Superfrio Solucoes em Refrigeracao Ltda;19/02/2024;7372;NF 45556;Fora de Garantia
8998;CCI 42B10 3/ED/STD - 1540;Superfrio Solucoes em Refrigeracao Ltda;19/02/2024;7372;NF 45556;Fora de Garantia
8999;RTC 313A6 2/STD/W3 - 1105;Superfrio Solucoes em Refrigeracao Ltda;19/02/2024;7372;NF 45556;Fora de Garantia
9000;CCI 42A10 3/ED/STD - 1539;Superfrio Solucoes em Refrigeracao Ltda;19/02/2024;7372;NF 45556;Fora de Garantia
9001;VCR 240EZ902 2/STD;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;19/02/2024;7381;NF 45465;Fora de Garantia
9002;RTC 353E8 2M/ED/STD - 1839;;19/02/2024;;;Fora de Garantia
9003;RCI 43A06 3/STD;Mazzero e Carvalho - Refrigeracao Ltda;19/02/2024;7383;NF 45596;Fora de Garantia
9004;FCR 245EZ903 V/2/STD;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;19/02/2024;7386;NF 45477;Fora de Garantia
9006;RCI 52B10 2/ED/STD;Arneg Brasil Ltda;19/02/2024;7368;NF 45539;Fora de Garantia
9007;RCI 52B10 2/ED/STD;Arneg Brasil Ltda;19/02/2024;7368;NF 45539;Fora de Garantia
9008;SPT 18T20R 458A CO/CA-279;Air Liquide Brasil Ltda;19/02/2024;7387;NF 45577;Fora de Garantia
9008;SPT 18T20R 458A CO/CA-279;Air Liquide Brasil Ltda;19/02/2024;7387;NF 45578;Fora de Garantia
9008;SPT 18T20R 458A CO/CA-279;Air Liquide Brasil Ltda;19/02/2024;7387;NF 45579;Fora de Garantia
9009;RTC 353E8 2M/ED/STD - 1839;Superfrio Solucoes em Refrigeracao Ltda;19/02/2024;7382;NF 45545;Fora de Garantia
9010;RFD 32E07 2/ED/STD;Supermercados Jau Serve Ltda;19/02/2024;7371;NF 45554;Fora de Garantia
9010;RFD 32E07 2/ED/STD;Supermercados Jau Serve Ltda;19/02/2024;7371;NF 45555;Fora de Garantia
9011;SPT 20T8R 1010A CO/CA/AP - 2115;Toffano Produtos Alimenticios Ltda;20/02/2024;7360;NF 45595;Fora de Garantia
9011;SPT 20T8R 1010A CO/CA/AP - 2115;Toffano Produtos Alimenticios Ltda;20/02/2024;7360;NF 45958;Fora de Garantia
9012;CTC 353A8 3/ED/STD/50HZ - 1694;Superfrio Solucoes em Refrigeracao Ltda;20/02/2024;7372;NF 45556;Fora de Garantia
9013;Bandeja para RCI 52;OF Comercio de Produtos Alimenticios Ltda;21/02/2024;7404;NF 45391;Fora de Garantia
9016;VCR 172 EZ902 N/Z/2/60HZ;NSF Industria e Comercio de Equipamentos para Instalacoes Comerciais Ltda;21/02/2024;7400;NF 45503;Fora de Garantia
9017;VCR 359EZ903 3/STD;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45621;Fora de Garantia
9017;VCR 359EZ903 3/STD;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45622;Fora de Garantia
9018;RCI 42B06 3/STD/W12/RR - 1401;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45621;Fora de Garantia
9018;RCI 42B06 3/STD/W12/RR - 1401;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45622;Fora de Garantia
9019;RTC 313A4 2/STD/W5 - 1007;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45621;Fora de Garantia
9019;RTC 313A4 2/STD/W5 - 1007;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45622;Fora de Garantia
9020;RFD 32E07 2/STD/W6/RR - 1211;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45621;Fora de Garantia
9020;RFD 32E07 2/STD/W6/RR - 1211;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45622;Fora de Garantia
9021;CTC 252A4 2/STD/G3 - 1900;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45621;Fora de Garantia
9021;CTC 252A4 2/STD/G3 - 1900;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45622;Fora de Garantia
9022;CCI 52A10 3/ED/STD - 1388;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45621;Fora de Garantia
9022;CCI 52A10 3/ED/STD - 1388;Perfil Refrigeracao Ind. Com. e Servico Ltda;21/02/2024;7399;NF 45622;Fora de Garantia
